BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Sep,Oct,Nov,Dec,Jan,Feb
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B612,PL390,CG_NORDIC ALL OTHER,S1952135,IO663,GrossUnits,45.99423631,160.3711165,133.4065476,1.858364532,45.99423631,45.99423631
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B612,PL390,CG_NORDIC ALL OTHER,S1994438,IO663,GrossUnits,,81.63002755,,30.82316356,,0.166678405
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B612,PL313,CG_NORDIC ALL OTHER,S1860347,IO663,GrossUnits,351.8957195,247.5710424,292.9352199,288.6495178,321.9707356,222.4301831
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B612,PL391,CG_NORDIC ALL OTHER,S1815334,IO663,GrossUnits,4.789035576,8.830735353,4.305070354,5.628986291,4.904894229,6.104078762
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL343,CG_NORDIC ALL OTHER,S1962135,IO663,GrossUnits,2.855631941,2.855631941,2.855631941,2.855631941,,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL343,CG_NORDIC ALL OTHER,S2062212,IO663,GrossUnits,4.35666,1.65172,5.39587,8.00362,,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL343,CG_NORDIC ALL OTHER,S2180137,IO663,GrossUnits,59.75775,115.68362,137.55363,137.01344,98.63272,37.7309
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL302,CG_NORDIC ALL OTHER,S1948306,IO663,GrossUnits,120.08647,83.09955,129.12138,87.66871,104.36797,33.98931
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL302,CG_NORDIC ALL OTHER,S1955138,IO663,GrossUnits,97.03403977,169.6970243,190.7174801,112.2998037,293.4814055,84.43093534
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL342,CG_NORDIC ALL OTHER,S1866332,IO663,GrossUnits,25,125,,30.95457131,,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B628,PL342,CG_NORDIC ALL OTHER,S1948378,IO663,GrossUnits,73.73602179,116.5908175,155.4543974,,51.09525769,82.33223498
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B920,PL013,CG_NORDIC ALL OTHER,S2046178,IO663,GrossUnits,8,16,8,,,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B920,PL013,CG_NORDIC ALL OTHER,S2123214,IO663,GrossUnits,,0.581747573,,,,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL013,CG_NORDIC ALL OTHER,S2042190,IO663,GrossUnits,470.8349218,,,,153.3031804,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL016,CG_NORDIC ALL OTHER,S1941136,IO663,GrossUnits,47.97001874,,,8.79088851,9.693014552,111.8588024
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL021,CG_NORDIC ALL OTHER,S2019203,IO663,GrossUnits,51.76489028,11.49425287,11.49425287,67.62405232,35.38573203,73.96887914
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL021,CG_NORDIC ALL OTHER,S2019205,IO663,GrossUnits,26.96599099,21.42857143,35.71428571,32.8185431,15.25165014,35.00905397
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL021,CG_NORDIC ALL OTHER,S1958567,IO663,GrossUnits,,,1.95712,8.39919,27.99743,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL021,CG_NORDIC ALL OTHER,S2095405,IO663,GrossUnits,9.064688916,59.62094669,40.08365008,10.64394773,15.9659216,15.9659216
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL021,CG_NORDIC ALL OTHER,S2150195,IO663,GrossUnits,1104.105264,1840.083192,1856.783962,1111.762853,750,742.3933046
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL012,CG_NORDIC ALL OTHER,S2049280,IO663,GrossUnits,,115.4195931,3.95134,83.851,170.72955,
BU5300,NoLegalEntity,Chnl10,L248,MarginDept,B120,PL012,CG_NORDIC ALL OTHER,S2053138,IO663,GrossUnits,,367.4450549,132.3305407,,,
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B617,PL374,CG_BENELUX ALL OTHER,S1541626,IO663,GrossUnits,5.26575783,2.457353654,2.457353654,2.457353654,3.159454698,0.168504251
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B617,PL374,CG_BENELUX ALL OTHER,S1541628,IO663,GrossUnits,3.828306265,1.392111369,1.740139211,1.740139211,2.436194896,0.125290023
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL322,CG_BENELUX ALL OTHER,S1400858,IO663,GrossUnits,127.6953369,479.5962228,618.3555842,539.339571,510.0476118,362.1089182
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL321,CG_BENELUX ALL OTHER,S1400328,IO663,GrossUnits,63.26685118,71.64311852,92.71982066,,,
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL321,CG_BENELUX ALL OTHER,S1563855,IO663,GrossUnits,38.66554183,44.01369239,67.26662473,27.17812613,30.86578035,28.83736887
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL323,CG_BENELUX ALL OTHER,S1834329,IO663,GrossUnits,2.223336427,36.70186846,,,1.265354692,1.111657817
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL320,CG_BENELUX ALL OTHER,S1402104,IO663,GrossUnits,7.912525824,4.930364483,1.079733983,3.567451697,6.341465157,
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL308,CG_BENELUX ALL OTHER,S2095419,IO663,GrossUnits,172.860847,172.860847,133.2692847,,138.2886776,32.86625313
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B612,PL390,CG_BENELUX ALL OTHER,S1846589,IO663,GrossUnits,,16.44034042,,,52.94696333,
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B628,PL302,CG_BENELUX ALL OTHER,S1948306,IO663,GrossUnits,,,,4.06626506,12.13700087,2.710843374
BU5300,NoLegalEntity,Chnl10,L286,MarginDept,B628,PL302,CG_BENELUX ALL OTHER,S1955138,IO663,GrossUnits,6.19798347,9.423452843,13.41330153,6.258841978,1.676675452,11.55639157
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL322,CG_SPAIN ALL OTHER,S1400858,IO663,GrossUnits,1160.658267,1159.465708,1160.658267,1450.822834,1450.822834,1450.822834
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL321,CG_SPAIN ALL OTHER,S1400326,IO663,GrossUnits,1198.341917,1198.341917,1198.341917,259.514159,,
BU5300,NoLegalEntity,Chnl10,L272,MarginDept,B612,PL321,CG_SPAIN ALL OTHER,S1563855,IO663,GrossUnits,98.23627288,196.4725458,98.23627288,98.23627288,196.4725458,196.4725458
