sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT27450-1-FBM	5.2					
UT71048-1-FBM	18.96					
UT71050-1-FBM	12.78					
UT71004-1-FBM	11.78					
UT71004-3-FBM	28.66					
UT71004-2-FBM	22.22					
UT71004-4-FBM	35.11					
UT40318-1-FBM	15.7					
UT40318-4-FBM	36.18					
UT40318-1-V1-FBM	15.7					
UT27456-1-FBM	5.37					
UT27456-1-V1-FBM	5.37					
UT71017-1-FBM	12.63					
UT71047-1-FBM	16.63					
UT7903-2-FBM	15.04					
UT40358-1-FBM	15.16					
UT71053-1-FBM	13.58					
UT71020-1-FBM	9.72					
UT71020-1-V1-FBM	9.72					
UT71020-3-FBM	24.08					
UT71020-4-FBM	29					
UT40051-1-FBM	17.3					
UT27454-1-FBM	5.37					
UT71042-1-FBM	12.51					
UT71042-3-FBM	30.86					
UT71042-2-FBM	23.68					
UT71042-3-V1-FBM	30.86					
UT71042-4-FBM	38.04					
UT71042-1-V1-FBM	12.51					
UT71037-1-FBM	11.95					
UT71014-1-FBM	16.23					
UT71014-6-FBM	53.46					
UT71014-3-FBM	31.39					
UT71014-4-FBM	38.3					
UT71014-7-FBM	60.37					
UT71014-11-FBM	92.01					
UT40049-1-FBM	9.43					
UT27444-1-FBM	5.37					
UT71028-1-FBM	32.04					
UT71028-1-V1-FBM	32.04					
UT71049-1-FBM	19.03					
UT9517-1-FBM	15.17					
UT27947-1-FBM	6.73					
UT27947-1-V1-FBM	6.73					
UT27947-1-V2-FBM	6.73					
UT9516-1-FBM	15.17					
UT27966-1-FBM	7.28					
UT96554-1-FBM	7.78					
UT96555-1-FBM	7.78					
UT27939-1-FBM	6.96					
UT27939-1-V1-FBM	6.96					
UT27939-2-FBM	9.31					
UT27939-1-V2-FBM	6.96					
UT27939-3-FBM	12.51					
UT30080-1-FBM	29.66					
UT27949-1-FBM	6.73					
UT39779-1-FBM	6.55					
UT39779-3-FBM	11.12					
UT39779-4-FBM	13.31					
UT39779-12-FBM	32.72					
UT27935-4-FBM	15.17					
UT27935-1-FBM	6.96					
UT27935-1-V1-FBM	6.96					
UT27936-3-FBM	12.51					
UT27936-4-FBM	15.17					
UT27936-7-FBM	23.15					
UT27936-8-FBM	25.81					
UT27936-12-FBM	36.44					
UT27936-1-FBM	6.96					
UT27948-1-FBM	6.73					
UT27948-1-V1-FBM	6.73					
UT96553-1-FBM	7.78					
UT27965-1-FBM	7.28					
UT12059-1-FBM	10.92					
UT12012-1-FBM	17.7					
UT12012-2-FBM	34.05					
UT12012-3-FBM	46.41					
UT12012-4-FBM	58.78					
UT12012-7-FBM	97.2					
UT12012-9-FBM	121.92					
UT27950-1-FBM	6.78					
UT27950-2-FBM	8.96					
UT27950-6-FBM	19.29					
UT12016-1-FBM	16.5					
UT12016-2-FBM	31.66					
UT12016-3-FBM	42.82					
UT12016-5-FBM	66.49					
UT12013-1-FBM	31.66					
UT12013-2-FBM	53.99					
UT12013-3-FBM	77.65					
UT12013-4-FBM	99.99					
UT12013-6-FBM	145.98					
UT12013-8-FBM	190.65					
UT12050-1-FBM	17.3					
UT27942-1-FBM	6.84					
UT27942-1-V1-FBM	6.84					
UT27942-6-FBM	19.69					
UT27942-4-FBM	14.64					
UT27942-1-V2-FBM	6.84					
UT27942-2-FBM	9.08					
UT27942-3-FBM	12.11					
UT27946-3-FBM	12.11					
UT27946-3-V1-FBM	12.11					
UT27946-2-FBM	9.08					
UT12002-1-FBM	16.63					
UT12002-1-V1-FBM	16.63					
UT12002-3-FBM	32.59					
UT27944-1-FBM	6.96					
UT27944-1-V2-FBM	6.96					
UT27944-1-V1-FBM	6.96					
UT27955-1-FBM	7.08					
UT27955-1-V1-FBM	7.08					
UT27955-3-FBM	12.91					
UT27955-6-FBM	21.29					
UT27942-1-FBM	6.84					
UT27940-2-FBM	9.31					
UT27940-3-FBM	12.51					
UT27940-3-V1-FBM	12.51					
UT27940-6-FBM	20.49					
UT27940-1-V1-FBM	6.96					
UT27940-4-FBM	15.17					
UT27937-1-FBM	6.92					
UT27937-3-FBM	12.39					
UT27937-2-FBM	9.24					
UT27937-6-FBM	20.25					
UT27938-1-FBM	6.92					
UT27938-3-FBM	12.39					
UT27938-2-FBM	9.24					
UT27930-1-FBM	6.96					
UT27930-12-FBM	37.24					
UT27934-1-FBM	6.96					
UT27934-1-V1-FBM	6.96					
UT12055-1-FBM	15.7					
UT12054-1-FBM	14.11					
UT12006-1-FBM	18.1					
UT12006-4-FBM	60.37					
UT12006-2-FBM	34.85					
UT12006-3-FBM	47.61					
UT12006-6-FBM	87.22					
UT12006-9-FBM	125.51					
UT12006-12-FBM	165.13					
UT12057-1-FBM	15.17					
UT12053-1-FBM	18.1					
UT12056-1-FBM	13.31					
UT12056-1-V1-FBM	13.31					
UT12052-1-FBM	15.17					
UT12033-1-FBM	10.92					
UT12019-1-FBM	13.31					
UT12019-2-FBM	25.27					
UT12019-5-FBM	50.53					
UT27963-1-FBM	6.96					
UT27963-4-FBM	15.17					
UT12007-1-FBM	15.7					
UT12007-2-FBM	30.06					
UT12032-1-FBM	18.1					
UT12005-1-FBM	13.71					
UT12005-2-FBM	26.07					
UT12005-4-FBM	42.82					
UT12005-6-FBM	60.9					
UT12005-7-FBM	69.28					
UT12042-1-FBM	18.1					
UT12041-1-FBM	13.31					
UT12030-1-FBM	15.17					
UT12040-1-FBM	15.17					
UT12049-1-FBM	15.7					
UT9511-1-FBM	12.98					
UT9511-1-V1-FBM	12.98					
UT9511-3-FBM	29.86					
UT9511-4-FBM	38.3					
UT9511-5-FBM	47.21					
UT9511-6-FBM	55.65					
UT9511-2-FBM	21.42					
UT12051-1-FBM	15.7					
UT27933-1-FBM	6.96					
UT27933-6-FBM	20.49					
UT27933-2-FBM	9.31					
UT12011-1-FBM	11.71					
UT12011-2-FBM	22.08					
UT12011-3-FBM	28.46					
UT12011-8-FBM	61.7					
UT12011-10-FBM	74.46					
UT12011-7-FBM	55.32					
UT12011-4-FBM	34.85					
UT12014-1-FBM	18.1					
UT27957-1-FBM	7.25					
UT27957-3-FBM	13.97					
UT27957-6-FBM	23.52					
UT27957-2-FBM	9.72					
UT12034-1-FBM	18.1					
UT15627-1-FBM	13.31					
UT15616-2-FBM	11.32					
UT12036-1-FBM	15.17					
UT15618-2-FBM	11.32					
UT27954-1-FBM	7.2					
UT27941-1-FBM	6.96					
UT27941-3-FBM	12.51					
UT27941-6-FBM	20.49					
UT27941-2-FBM	9.31					
UT27941-7-FBM	23.61					
UT15601-1-FBM	9.24					
UT12010-1-FBM	26.87					
UT12010-2-FBM	44.42					
UT12044-1-FBM	20.49					
UT15630-1-FBM	13.31					
UT81536-1-FBM	10.65					
UT41422-1-FBM	6.96					
UT12020-1-FBM	13.71					
UT12020-2-FBM	26.07					
UT12020-3-FBM	34.45					
UT12020-4-FBM	42.82					
UT12020-5-FBM	52.53					
UT31723-1-FBM	11.38					
UT28699-1-FBM	6.08					
UT15607-1-FBM	9.34					
UT20654-1-FBM	14.11					
UT41432-1-FBM	12.38					
UT12009-1-FBM	15.7					
UT12009-1-V1-FBM	15.7					
UT15602-1-FBM	16.3					
UT15614-1-FBM	8.32					
UT15605-1-FBM	9.34					
UT15611-1-FBM	7.49					
UT15612-1-FBM	7.49					
UT15622-1-FBM	9.4					
UT15632-1-FBM	13.31					
UT15628-1-FBM	13.31					
UT15626-1-FBM	12.98					
UT15606-3-FBM	12.75					
UT15615-1-FBM	10.92					
UT15603-1-FBM	9.24					
UT76760-1-FBM	13.58					
UT76760-3-FBM	32.19					
UT76760-2-FBM	23.68					
UT15617-2-FBM	11.32					
UT76759-1-FBM	13.58					
UT76759-6-FBM	53.72					
UT76759-2-FBM	23.68					
UT76759-3-FBM	32.19					
UT12039-1-FBM	12.51					
UT15608-1-FBM	14.57					
UT82089-1-FBM	27.96					
UT82089-3-FBM	66.57					
UT82089-1-V1-FBM	27.96					
UT82089-6-FBM	123.81					
UT82089-10-FBM	202.35					
UT15629-1-FBM	13.31					
UT76748-1-FBM	13.58					
UT15631-1-FBM	13.31					
UT27931-1-FBM	6.96					
UT27931-4-FBM	15.17					
UT15604-1-FBM	16.3					
UT31694-1-FBM	14.64					
UT31694-4-FBM	31.92					
UT31694-1-V1-FBM	14.64					
UT31694-3-FBM	26.6					
UT31694-2-FBM	21.29					
UT31694-5-FBM	38.57					
UT39107-1-FBM	15.5					
UT39107-12-FBM	90.15					
UT12043-1-FBM	15.17					
UT31695-6-FBM	39.37					
UT31695-1-FBM	9.4					
UT31695-2-FBM	18.89					
UT31695-1-V1-FBM	9.4					
UT31695-4-FBM	28.46					
UT31695-5-FBM	31.92					
UT31695-10-FBM	58.51					
UT31695-12-FBM	69.41					
UT81793-3-FBM	71.63					
UT81793-3-V1-FBM	71.63					
UT81793-2-FBM	51.3					
UT81793-6-FBM	133.94					
UT81793-1-FBM	29.65					
UT40015-1-FBM	17.23					
UT81804-1-FBM	29.25					
UT81804-2-FBM	54.43					
UT40016-1-FBM	13.31					
UT76762-1-FBM	12.51					
UT76762-2-FBM	23.68					
UT76754-1-FBM	12.18					
UT76754-3-FBM	30.86					
UT76754-2-FBM	19.93					
UT76761-1-FBM	11.71					
UT76761-3-FBM	27.11					
UT76761-2-FBM	19.69					
UT82109-3-FBM	75.34					
UT82109-1-FBM	30.88					
UT82109-1-V1-FBM	30.88					
UT82109-1-V2-FBM	30.88					
UT82109-1-V3-FBM	30.88					
UT82109-12-FBM	274.72					
UT76755-1-FBM	13.58					
UT93841-1-FBM	13.84					
UT93808-1-FBM	12.25					
UT93808-1-V1-FBM	12.25					
UT93808-2-FBM	23.15					
UT93808-3-FBM	30.06					
UT93839-1-FBM	13.84					
UT75831-1-FBM	15.64					
UT75833-1-FBM	14.57					
UT75832-1-FBM	15.64					
UT75837-1-FBM	15.64					
UT93834-1-FBM	12.5					
UT93837-1-FBM	12.5					
UT75835-1-FBM	14.57					
UT75838-1-FBM	14.57					
UT75834-1-FBM	11.65					
UT91227-1-FBM	15.7					
UT91227-1-V2-FBM	15.7					
UT91227-5-FBM	43.89					
UT91227-8-FBM	67.02					
UT75836-1-FBM	15.64					
UT75839-1-FBM	15.64					
