sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
WP10004650-6-FBM	25.19					
WP10004655-1-FBM	9.43					
WP10004655-2-FBM	16.61					
WP10004655-3-FBM	24.64					
WP10004655-4-FBM	29.74					
WP10004655-6-FBM	41.28					
WP10004655-7-FBM	46.38					
WP10004655-8-FBM	51.49					
WP10004706-1-FBM	57.5					
WP10004715-1-FBM	66.86					
WP10004719-1-FBM	23.19					
WP10004729-1-FBM	6.87					
WP10004729-1-V1-FBM	6.87					
WP10004729-1-V2-FBM	6.87					
WP10004729-1-V3-FBM	6.87					
WP10004729-2-FBM	9.55					
WP10004729-4-FBM	19.11					
WP10004729-9-FBM	32.67					
WP10004756-12-FBM	40.32					
WP10004756-1-FBM	6.9					
WP10004756-1-V1-FBM	6.9					
WP10004756-1-V2-FBM	6.9					
WP10004756-2-FBM	9.29					
WP10004756-3-FBM	12.99					
WP10004756-4-FBM	16.29					
WP10004756-5-FBM	21.68					
WP10004756-6-FBM	24.16					
WP10004756-6-V1-FBM	24.16					
WP10004961-1-FBM	6.87					
WP10004961-1-V1-FBM	6.87					
WP10004961-1-V2-FBM	6.87					
WP10004961-1-V3-FBM	6.87					
WP10004971-1-FBM	8.25					
WP10004971-1-V1-FBM	8.25					
WP10004971-1-V2-FBM	8.25					
WP10004971-1-V3-FBM	8.25					
WP10004971-1-V4-FBM	8.25					
WP10004971-24-FBM	106.69					
WP10004971-2-FBM	12.54					
WP10004971-1-V5-FBM	8.25					
WP10004971-1-V6-FBM	8.25					
WP10004977-1-FBM	13.31					
WP10004977-1-V1-FBM	13.31					
WP10004977-1-V2-FBM	13.31					
WP10004977-1-V3-FBM	13.31					
WP10004977-4-FBM	44.42					
WP10004977-5-FBM	53.19					
WP10004998-1-FBM	7.11					
WP10004998-1-V1-FBM	7.11					
WP10004998-1-V2-FBM	7.11					
WP10004998-1-V4-FBM	7.11					
WP10004998-1-V5-FBM	7.11					
WP10004998-1-V6-FBM	7.11					
WP10004998-2-FBM	9.3					
WP10004998-3-FBM	13.14					
WP10004998-8-FBM	31.02					
WP10004998-9-FBM	33.73					
WP10005038-1-FBM	8.36					
WP10005038-1-V1-FBM	8.36					
WP10005038-1-V2-FBM	8.36					
WP10005038-24-FBM	109.88					
WP10005038-2-FBM	13.27					
WP10005038-3-FBM	17.98					
WP10005038-4-FBM	22.93					
WP10005038-5-FBM	29.99					
WP10005038-1-V3-FBM	8.36					
WP10005065-1-FBM	11.13					
WP10005065-1-V1-FBM	11.13					
WP10005065-2-FBM	18.19					
WP10005065-3-FBM	25.11					
WP10005065-6-FBM	48.88					
WP10005085-1-FBM	10.84					
WP10005085-1-V1-FBM	10.84					
WP10005085-2-FBM	18.02					
WP10005125-1-FBM	8.36					
WP10005200-1-FBM	15.66					
WP10005205-1-FBM	12.21					
WP10005205-1-V1-FBM	12.21					
WP10005205-1-V2-FBM	12.21					
WP10005205-2-FBM	20.94					
WP10005205-4-FBM	33.89					
WP10005205-6-FBM	45.51					
WP10005205-9-FBM	64.27					
WP10005229-1-FBM	23.03					
WP10005229-1-V1-FBM	23.03					
WP10005229-1-V2-FBM	23.03					
WP10005229-2-FBM	41.52					
WP10005229-6-FBM	117.35					
WP10005231-1-FBM	11.93					
WP10005231-1-V1-FBM	11.93					
WP10005231-3-FBM	27.51					
WP10005231-4-FBM	35.14					
WP10005231-6-FBM	53.67					
WP10005236-1-FBM	11.78					
WP10005236-2-FBM	19.82					
WP10005236-4-FBM	34.55					
WP10005246-10-FBM	81.77					
WP10005246-11-FBM	89.02					
WP10005246-12-FBM	96.26					
WP10005246-1-FBM	11.78					
WP10005246-1-V1-FBM	11.78					
WP10005246-1-V2-FBM	11.78					
WP10005246-2-FBM	19.49					
WP10005246-3-FBM	27.07					
WP10005246-4-FBM	34.55					
WP10005246-6-FBM	52.79					
WP10005297-1-V3-FBM	6.97					
WP10005297-1-V1-FBM	6.97					
WP10005297-1-V2-FBM	6.97					
WP10005297-9-FBM	32.29					
WP10005309-10-FBM	52.66					
WP10005309-1-FBM	8.34					
WP10005309-1-V1-FBM	8.34					
WP10005309-2-FBM	13.2					
WP10005309-2-V1-FBM	13.2					
WP10005309-4-FBM	22.67					
WP10005309-5-FBM	27.24					
WP10005309-6-FBM	32.4					
WP10005309-7-FBM	39.66					
WP10005309-8-FBM	43.99					
WP10005309-9-FBM	48.33					
WP10005317-1-FBM	22.31					
WP10005317-1-V1-FBM	22.31					
WP10005317-2-FBM	40.55					
WP10005317-3-FBM	58.89					
WP10005317-4-FBM	77.49					
WP10005317-6-FBM	115.97					
WP10005317-7-FBM	133.74					
WP10005320-1-FBM	8.25					
WP10005320-1-V1-FBM	8.25					
